1;Ужасный планшет. С первого дня глючит и сам себя перезагружает. И тупит еще жутко. Брали ребенку на подарок, упал легонько, кнопка отвалилась, экран разбился. Очень хрупкий. Ждали в ремонт, так к нему даже запчастей нет. Хотели подешевле, вот и выбросили считай деньги. Второй раз попалась на такое.
5;Для своих денег очень неплохой планшет. Покупали для ребенка, нареканий нет пока. Батарея держит долго!
4;Вчера получила этот планшет. Вопрос первый: почему нет звука видео с флешки? Файл нормальный. На всех устройствах звук есть, а на планшете нет. Я уже все настройки выставила, откорректировала, а звука так и нет. Вопрос второй : непонятно как настроить функцию Скриншот и как его делать. Ответьте, пожалуйста!
3;покупал не себе ,а маме ей в целом понравился. проверить не сообразил ,так как не смог ,мало времени дали ,когда осматривал его.
1;Ужасный планшет. С первого дня глючит и сам себя перезагружает. И тупит еще жутко. Брали ребенку на подарок, упал легонько, кнопка отвалилась, экран разбился. Очень хрупкий. Ждали в ремонт, так к нему даже запчастей нет. Хотели подешевле, вот и выбросили считай деньги. Второй раз попалась на такое.
5;Для своих денег очень неплохой планшет. Покупали для ребенка, нареканий нет пока. Батарея держит долго!
4;Вчера получила этот планшет. Вопрос первый: почему нет звука видео с флешки? Файл нормальный. На всех устройствах звук есть, а на планшете нет. Я уже все настройки выставила, откорректировала, а звука так и нет. Вопрос второй : непонятно как настроить функцию Скриншот и как его делать. Ответьте, пожалуйста!
3;покупал не себе ,а маме ей в целом понравился. проверить не сообразил ,так как не смог ,мало времени дали ,когда осматривал его.
5;Перестал работать вай-фай , буквально на вторые сутки после покупки.Хелп!В чем может быть причина????и куда обращаться?
5;Покупался как цветная электронная книжка. Оказалось, что ещё и вполне бодренько крутит видео, бегает по интернету и даже запускает игры :)
4;полностью согласен с покупателем Юрием
4;Пользуюсь несколько дней. Планшет бюджетный, что видно и по качеству пластика, и по сборке (задняя крышка немного люфтит). Достался с немного поцарапанным экраном, но меня устраивает, решил не менять. С включенным wifi в интернете можно серфить 4-5 часов. Встроенные программы работают шустро, видео youtube и социальные сети отлично, оперативки хватает. Для этих целей планшет и брался, поэтому, учитывая цену, весьма неплохой вариант, на твердую 4 или 4+ тянет.
4;за, доволі , невеликі гроші - хороший девайс. рекомендую!
3;Классный планшет) покупала для учёбы) интернет хорошый) звук отличный камера никакая но мне он был нужен не для этого поэттому для меня значения не имело) иногда глючит, но потом всё норм)
5;Покупкой доволен!
5;чудовий планшет, за таку ціну
5;Покупался не здесь, но именно эта модель. Покупался мужу моей сестры.
  Насчет крышечки отсека для памяти и симки - надо просто приловчиться,
  там есть в одном месте небольшой зазор, через который крышка снимается.
  Планшет понравился, хочу такой же жене купить.
  P.S. Не всякая MicroSD работает с планшетом. Надо проверять.
  Transcend работает, более дешевые могут не подойти.
5;Планшет брался для просмотра видео, интернета, соцсетей. С этими задачами он справляется на отлично. Так же хорошо идут несложные игры. 3G и wi-fi ловит без проблем. Нормальный экран, хорошая цветопередача, яркости, лично для меня, более чем достаточно. Звук не особо хорош, но для просмотра фильмов пойдёт. К камерам претензий не имею, поскольку это не фотоаппарат и не смартфон. Корпус планшета довольно крепкий (нет ощущения хлипкости, что вот-вот в руках треснет) и не собирает отпечатки пальцев.
